Rank,country,Capital,Continent,Area (km²),Yr_1950,Yr_1960,Yr_1970,Yr_1980,Yr_1990,Yr_2000,Yr_2010,Yr_2020,Yr_2023,World Population Percentage
165,Bhutan,Thimphu,Asia,38394,176367,221266,298894,415257,558442,587207,705516,772506,787424,0.01
80,Bolivia,Sucre,South America,1098581,3089843,3707515,4585693,5736088,7096194,8592656,10223270,11936162,12388571,0.15
137,Bosnia and Herzegovina,Sarajevo,Europe,51209,2692907,3262539,3815561,4199820,4494310,4179350,3811088,3318407,3210847,0.04
144,Botswana,Gaborone,Africa,582000,413481,512865,592244,938578,1341474,1726985,2091664,2546402,2675352,0.03
7,Brazil,Brasilia,South America,8515767,37189369,44928342,96369875,122288383,150706446,175873720,196353492,213196304,223804632,2.7
221,British Virgin Islands,Road Town,North America,151,7358,7850,9581,11109,15617,20104,27556,30910,31538,0
175,Brunei,Bandar Seri Begawan,Asia,5765,48269,85346,133343,187921,261928,333926,396053,441725,452524,0.01
108,Bulgaria,Sofia,Europe,110879,7157632,7891756,8582950,8980606,8767778,8097691,7592273,6979175,6687717,0.09
58,Burkina Faso,Ouagadougou,Africa,272967,4213757,4783259,5611666,6932967,9131361,11882888,16116845,21522626,23251485,0.28
78,Burundi,Bujumbura,Africa,27834,2254113,2746628,3497834,4312834,5483793,6307659,9126605,12220227,13238559,0.16
73,Cambodia,Phnom Penh,Asia,181035,4380380,5541676,6708525,6198959,8910808,12118841,14363532,16396860,16944826,0.21
53,Cameroon,Yaounde,Africa,475442,4315816,5117608,6452787,8519891,11430520,15091594,19878036,26491087,28647293,0.35
39,Canada,Ottawa,North America,9984670,13743069,17909356,21434577,24511510,27657204,30683313,33963412,37888705,38781291,0.48
171,Cape Verde,Praia,Africa,4033,184999,209849,287262,317234,364563,458251,521212,582640,598682,0.01
205,Cayman Islands,George Town,North America,264,6912,8473,10533,17100,26027,39658,54074,67311,69310,0
117,Central African Republic,Bangui,Africa,622984,1436591,1679728,2067356,2415276,2809221,3759170,4660067,5343020,5742315,0.07
69,Chad,N'Djamena,Africa,1284000,2512688,3028688,3667394,4408230,5827069,8259137,11894727,16644701,18278568,0.22
65,Chile,Santiago,South America,756102,6623645,8141820,9820481,11469828,13342868,15351799,17004162,19300315,19629590,0.25
1,China,Beijing,Asia,9706961,543979233,654170692,822534450,982372466,1153704252,1264099069,1348191368,1424929781,1425671352,17.88
28,Colombia,Bogota,South America,1141748,11769748,15687688,20905254,26176195,32601393,39215135,44816108,50930662,52085168,0.65
163,Comoros,Moroni,Africa,1862,161814,194852,242351,328328,431119,536758,656024,806166,852075,0.01
223,Cook Islands,Avarua,Oceania,236,14683,17631,20470,17651,17123,15897,17212,17029,17044,0
124,Costa Rica,San José,North America,51100,948487,1346302,1855697,2414303,3158253,3979193,4622252,5123105,5212173,0.06
130,Croatia,Zagreb,Europe,56594,3864691,4215324,4492638,4680144,4873707,4548434,4368682,4096868,4008617,0.05
85,Cuba,Havana,North America,109884,5926645,7267395,8869636,9809107,10626680,11105791,11290417,11300698,11194449,0.14
158,Cyprus,Nicosia,Europe,9251,493956,585725,640804,679327,788500,948237,1129686,1237537,1260138,0.02
115,Denmark,Copenhagen,Europe,43094,4267694,4581727,4922963,5125392,5144623,5340655,5550849,5825641,5910913,0.07
160,Djibouti,Djibouti,Africa,23200,62334,85940,144379,324121,577173,742033,919199,1090156,1136455,0.01
204,Dominica,Roseau,North America,751,50188,59379,68895,72978,69481,68346,68755,71995,73040,0
84,Dominican Republic,Santo Domingo,North America,48671,2381740,3298021,4475871,5755800,7129004,8540791,9775755,10999664,11332972,0.14
67,Ecuador,Quito,South America,276841,3518733,4618158,6172215,8135845,10449837,12626507,14989585,17588595,18190484,0.23
14,Egypt,Cairo,Africa,1002450,21150058,27034499,34781986,43748556,57214630,71371371,87252413,107465134,112716598,1.39
112,El Salvador,San Salvador,North America,21041,2182409,2779327,3619090,4508992,5367179,5958482,6114034,6292731,6364943,0.08
152,Equatorial Guinea,Malabo,Africa,28051,226381,267351,316955,282509,465549,684977,1094524,1596049,1714671,0.02
132,Eritrea,Asmara,Africa,117600,822576,993568,1272748,1657982,2149960,2392880,3147727,3555868,3748901,0.05
156,Estonia,Tallinn,Europe,45227,1102078,1218064,1361999,1476983,1570674,1396877,1331535,1329444,1322765,0.02
